zoo,ID,sex,birthday,origin,note
chiba,monta,m,1984/9/25,,
chiba,rora,f,1977/9/21,,
ueno,haoko,m,1993/8/21,,
ueno,riki,m,2017/10/9,,
ueno,toto,f,1978/12/31,,year is certained.
ueno,momoko,f,1983/6/3,,
ueno,komomo,f,2009/11/14,,
ueno,momoka,f,2013/4/24,,
ueno,sumomo,f,2022/5/31,,
hamamatsu,sho,m,1972/12/31,,estimate
higasiyama,nene,f,1972/12/31,,estimate
higasiyama,shabani,m,1996/10/20,,
higasiyama,ai,f,2003/2/27,,
higasiyama,kiyomasa,m,2012/11/1,,
higasiyama,anii,f,2013/6/2,,
jmc,taro,m,1972/4/20,,
kyoto,momotaro,m,2000/7/3,,
kyoto,genki,f,1986/6/24,,
kyoto,gentaro,m,2011/2/21,,
kyoto,kintaro,m,2018/12/19,,
